NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Juurikkasaaren piha-alue 1.4.-31.10;1500;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Juhlatalo ulkoterassi;30;
Juhlatalo Juurikkasaari;Juurikantie 5;40900;Jyväskylä;9.6.2020;Ann.lupa sis. vähittäismyynnin;Juhlatalo lasiterassi;34;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Tuba;120;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Tuban terassi;80;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Terassi;350;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Rauhalan salit ja kabinetit 1. krs.;224;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Prunnitori;900;
Juhlatalo Rauhala;Mannenkatu 4;90130;Oulu;30.4.2020;Ann.lupa sis. vähittäismyynnin;Rauhalan kabinetit 2. krs.;100;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Aula;10;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Ukko-sali;28;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Saunan terassi;8;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Välitila;10;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Terassi;7;
Juhlatalo Ukko Hjalmar Ay;Djupsjöbackantie 267;68700;Kruunupyy;15.5.2020;Ann.lupa sis. vähittäismyynnin;Hjalmar-sali;50;
