Vuosi;Määrä;Voitto;Muistiinpanot:
1991;1;336536186;
1991;1;285919475;
1991;1;108713850;
1991;2;98977266;
1991;3;62039918;
1991;2;60579895;
1991;1;59851120;
1991;2;58865774;
1991;2;58854388;
1991;1;58640957;
1991;1;55877327;
1991;1;55412439;
1991;1;54581742;
1991;1;53431286;
1991;1;53069396;
1991;1;53062669;
1991;1;51108981;
1991;1;50323493;
1991;3;44852440;
1991;3;36916291;
1991;2;29137835;
1991;2;27780172;
1991;2;27596965;
1991;2;27210553;
1991;2;26922228;
1991;2;26829658;
1991;2;26496645;
1991;2;26063646;
1991;2;25528993;
1991;3;17985025;
1991;3;17846555;
1991;3;17122288;
1992;1;222311508;
1992;1;211608549;
1992;1;189351568;
1992;1;168187926;
1992;2;168187926;
1992;1;127858867;
1992;2;67275171;
1992;2;64877803;
1992;4;63070472;
1992;1;59778446;
1992;1;59553882;
1992;1;58344644;
1992;2;58001457;
1992;1;57183794;
1992;1;56552232;
1992;1;56418051;
1992;1;55677436;
1992;1;54917596;
1992;1;54737988;
1992;1;54345892;
1992;1;53656456;
1992;4;53457725;
1992;1;52664585;
1992;3;48067706;
1992;3;43252670;
1992;4;32949007;
1992;2;27884213;
1992;2;27879638;
1992;3;19169875;
1993;1;189122984;
1993;1;169305989;
1993;1;168187926;
1993;1;151369134;
1993;1;120632975;
1993;1;116456062;
1993;2;103004997;
1993;1;100912756;
1993;1;100912756;
1993;1;100912756;
1993;1;100912756;
1993;2;96185027;
1993;1;61684032;
1993;1;61488076;
1993;2;59021836;
1993;1;58499024;
1993;1;56174280;
1993;3;56062653;
1993;1;55910157;
1993;1;55601297;
1993;1;55017702;
1993;1;54645704;
1993;1;53928416;
1993;1;52824262;
1993;2;50456378;
1993;3;39807072;
1993;6;36884066;
1993;3;33637585;
1993;2;31046432;
1993;2;30487661;
1993;2;27790700;
1993;2;27300769;
1993;2;26412753;
1993;3;18010270;
1994;1;179245173;
1994;1;174087606;
1994;1;171442766;
1994;1;165393921;
1994;1;152378160;
1994;1;134550341;
1994;1;130113005;
1994;1;123569755;
1994;2;116274822;
1994;2;111302380;
1994;2;97363150;
1994;2;91057566;
1994;2;86268919;
1994;1;84093963;
1994;2;75463854;
1994;2;55816460;
1994;1;55509618;
1994;1;55407158;
1994;1;55259606;
1994;1;54408693;
1994;1;54380640;
1994;1;54051143;
1994;2;53657717;
1994;2;52861734;
1994;1;52130689;
1994;2;28449021;
1994;2;27738562;
1994;3;18551481;
1995;1;260416114;
1995;1;236599459;
1995;1;224738695;
1995;1;155044545;
1995;1;121988688;
1995;1;121870939;
1995;1;116707301;
1995;1;110793982;
1995;2;108627704;
1995;1;100912756;
1995;3;84093963;
1995;1;84093963;
1995;1;84093963;
1995;2;77358525;
1995;2;74342865;
1995;2;61383497;
1995;1;57563562;
1995;1;57221569;
1995;1;57040464;
1995;1;57016329;
1995;1;56447333;
1995;1;55747318;
1995;1;55159568;
1995;1;53295424;
1995;2;42046982;
1995;2;29890526;
1995;4;29561046;
1995;3;28031327;
1995;2;27947350;
1995;2;27699744;
1995;2;27321153;
1995;3;18831060;
1995;3;18742593;
1995;3;17825969;
1996;1;266371716;
1996;3;155493842;
1996;1;139383995;
1996;1;138180324;
1996;1;133546949;
1996;1;132503074;
1996;1;129452616;
1996;1;127044888;
1996;1;126503070;
1996;2;112545104;
1996;2;103987837;
1996;1;100912756;
1996;1;100912756;
1996;3;89066658;
1996;2;69755085;
1996;2;69214916;
1996;2;67053415;
1996;1;60607966;
1996;1;59755842;
1996;1;59228522;
1996;5;51511253;
1996;3;33637585;
1996;2;32772965;
1996;2;31866550;
1996;2;31813789;
1996;2;30150192;
1996;3;21642574;
1996;3;20835120;
1997;1;367984873;
1997;1;262738184;
1997;1;251015384;
1997;1;152075271;
1997;1;145439282;
1997;1;143950348;
1997;2;143903036;
1997;1;140284339;
1997;1;134287766;
1997;2;71585356;
1997;2;71232363;
1997;1;68693701;
1997;1;67951740;
1997;1;67450321;
1997;1;66787543;
1997;1;66052579;
1997;1;65570687;
1997;4;64437874;
1997;5;50456378;
1997;2;50456378;
1997;3;45855395;
1997;3;33637585;
1997;2;33059221;
1997;3;22504974;
1998;1;362401875;
1998;1;258025743;
1998;1;239679720;
1998;1;229958273;
1998;1;153129002;
1998;1;144697102;
1998;1;142637002;
1998;3;139175476;
1998;2;117089760;
1998;1;100912756;
1998;1;100912756;
1998;1;100912756;
1998;1;70641502;
1998;1;69906807;
1998;1;69622738;
1998;1;68913523;
1998;1;68692070;
1998;1;68107449;
1998;1;68096466;
1998;1;68043352;
1998;1;66935751;
1998;1;66367174;
1998;1;66296418;
1998;1;66138489;
1998;1;65951077;
1998;2;36376576;
1998;2;34149398;
1998;2;33442622;
1998;2;32823472;
1998;3;22585906;
1998;3;22227262;
1999;1;267736947;
1999;1;252281890;
1999;1;249072931;
1999;1;229621443;
1999;1;188619177;
1999;1;186893199;
1999;1;162981114;
1999;1;157562267;
1999;1;149525946;
1999;1;148295600;
1999;1;100912756;
1999;1;100912756;
1999;1;100912756;
1999;1;100912756;
1999;1;100912756;
1999;2;94673942;
1999;2;91659006;
1999;1;74385820;
1999;2;73806833;
1999;1;73393915;
1999;1;72531396;
1999;1;71036189;
1999;2;71017318;
1999;1;70235261;
1999;1;69179764;
1999;1;66294198;
1999;1;65332365;
1999;2;36526263;
1999;3;24144268;
1999;3;23914389;
1999;3;23905660;
1999;3;22984949;
1999;4;17947788;
2000;1;336375853;
2000;1;269100682;
2000;1;269100682;
2000;1;256128919;
2000;1;250587649;
2000;1;236880551;
2000;1;195739447;
2000;3;170178346;
2000;1;150792821;
2000;2;126090102;
2000;2;122070528;
2000;1;100912756;
2000;1;100912756;
2000;2;76366703;
2000;1;75291562;
2000;4;73714195;
2000;1;73034531;
2000;1;71205638;
2000;1;69447166;
2000;6;58868852;
2000;2;42535534;
2000;2;38722024;
2000;3;24403782;
2001;1;267924241;
2001;1;238688454;
2001;1;189054717;
2001;1;168187926;
2001;1;159993676;
2001;1;153909175;
2001;1;151513473;
2001;1;149870209;
2001;1;148191509;
2001;1;147889544;
2001;2;121141475;
2001;1;100912756;
2001;1;100912756;
2001;1;100912756;
2001;1;100912756;
2001;1;100912756;
2001;2;92631115;
2001;1;77307463;
2001;1;75430603;
2001;2;75240954;
2001;1;73506046;
2001;1;71778571;
2001;1;69808703;
2001;3;64056962;
2001;3;54032659;
2001;6;41429244;
2001;2;37793744;
2001;2;35979417;
2001;2;35735023;
2001;2;34723474;
2002;1;450000000;
2002;1;419561100;
2002;1;335772690;
2002;1;256565580;
2002;1;223229110;
2002;1;154762810;
2002;1;150000000;
2002;1;100000000;
2002;1;100000000;
2003;1;330475740;
2003;1;305164400;
2003;1;232817000;
2003;1;230332770;
2003;1;146892870;
2003;1;145509310;
2003;1;144539350;
2003;1;139072240;
2003;3;128839420;
2003;2;113228220;
2004;1;566869730;
2004;1;349618590;
2004;1;251431280;
2004;1;240001840;
2004;2;174312290;
2004;1;152088440;
2004;1;148075790;
2004;1;147173370;
2004;1;146761240;
2004;1;145115760;
2004;1;133471190;
2004;1;100000000;
2005;1;356208760;
2005;1;241709780;
2005;2;234023160;
2005;1;231943120;
2005;1;217242000;
2005;1;215061350;
2005;1;160148350;
2005;1;155358270;
2005;1;149758060;
2005;1;140000000;
2005;1;140000000;
2005;1;135265360;
2005;2;126836850;
2005;2;105218150;
2006;1;434409200;
2006;1;350323030;
2006;1;340177340;
2006;1;248912600;
2006;2;175000000;
2006;2;173624550;
2006;1;157290460;
2006;1;155711060;
2006;2;151428610;
2006;1;123245920;
2006;1;116431460;
2006;3;112128030;
2007;1;450590340;
2007;1;300000000;
2007;1;300000000;
2007;1;286909600;
2007;1;201634090;
2007;1;200000000;
2007;1;200000000;
2007;3;161220600;
2007;1;133404580;
2007;2;102916000;
2007;3;101793410;
2008;1;526467220;
2008;1;478416760;
2008;1;386390510;
2008;1;371335750;
2008;2;325628420;
2008;1;300000000;
2008;1;300000000;
2008;1;300000000;
2008;2;250000000;
2008;1;217449520;
2008;1;200000000;
2008;1;200000000;
2008;1;156376010;
2008;2;150000000;
2008;3;150000000;
2008;2;150000000;
2008;1;114441160;
2008;1;113656170;
2008;1;111882590;
2008;1;111414880;
2008;1;108837720;
2008;1;108558960;
2008;1;107464520;
2008;1;106941670;
2008;1;100000000;
2009;1;500000000;
2009;1;500000000;
2009;1;440000000;
2009;1;400000000;
2009;1;400000000;
2009;2;345000000;
2009;2;335000000;
2009;1;300000000;
2009;1;300000000;
2009;1;300000000;
2009;1;300000000;
2009;2;250000000;
2009;2;225000000;
2009;3;166666760;
2009;1;115997160;
2009;1;114232130;
2009;1;114070840;
2009;1;112823630;
2009;1;110860240;
2009;1;110000000;
2009;1;110000000;
2009;1;110000000;
2009;1;109021540;
2009;1;108216880;
2009;1;104616250;
2010;1;730000000;
2010;1;720000000;
2010;1;700000000;
2010;1;600000000;
2010;1;600000000;
2010;1;330000000;
2010;1;300000000;
2010;1;300000000;
2010;1;220000000;
2010;1;220000000;
2010;1;220000000;
2010;1;220000000;
2010;6;118333330;
2010;1;110395820;
2010;1;110000000;
2010;1;110000000;
2010;1;110000000;
2010;2;110000000;
2010;2;110000000;
2010;1;110000000;
2010;1;106414690;
2010;1;103566270;
2010;1;102996670;
2010;1;102003720;
2010;1;101616640;
2011;1;800000000;
2011;1;750000000;
2011;2;500000000;
2011;1;500000000;
2011;1;500000000;
2011;2;450000000;
2011;1;300000000;
2011;1;300000000;
2011;3;246666660;
2011;1;220000000;
2011;2;175000000;
2011;2;175000000;
2011;3;166666660;
2011;1;151887920;
2011;1;150000000;
2011;1;113665640;
2011;1;100000000;
2012;1;1220000000;
2012;2;600000000;
2012;2;565000000;
2012;2;550000000;
2012;1;500000000;
2012;1;500000000;
2012;2;500000000;
2012;1;400000000;
2012;1;300000000;
2012;1;300000000;
2012;1;300000000;
2012;3;166666660;
2012;1;150000000;
2012;1;150000000;
2012;1;150000000;
2012;1;150000000;
2012;1;150000000;
2012;1;150000000;
2012;1;150000000;
2012;2;150000000;
2012;1;149401750;
2012;1;144327060;
2013;1;1280000000;
2013;1;1270000000;
2013;1;1250000000;
2013;1;700000000;
2013;2;650000000;
2013;1;600000000;
2013;1;400000000;
2013;1;400000000;
2013;1;300000000;
2013;1;280000000;
2013;2;225000000;
2013;2;225000000;
2013;1;144443360;
2013;1;140645040;
2013;1;140540360;
2013;1;140000000;
2013;1;140000000;
2013;1;140000000;
2014;1;1330000000;
2014;1;550000000;
2014;1;400000000;
2014;1;400000000;
2014;2;350000000;
2014;1;300000000;
2014;2;275000000;
2014;1;270000000;
2014;1;270000000;
2014;1;270000000;
2014;1;270000000;
2014;1;270000000;
2014;1;270000000;
2014;2;140000000;
2014;1;140000000;
2014;1;140000000;
2014;1;131930250;
2014;1;130000000;
2014;1;130000000;
2014;1;130000000;
2014;1;130000000;
2014;1;130000000;
2014;1;130000000;
2015;2;700000000;
2015;1;700000000;
2015;1;700000000;
2015;2;700000000;
2015;1;700000000;
2015;1;700000000;
2015;2;695000000;
2015;2;695000000;
2015;1;400000000;
2015;1;400000000;
2015;1;400000000;
2015;1;400000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;270000000;
2015;1;250000000;
2015;1;250000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;1;130000000;
2015;4;100000000;
2015;4;100000000;
2016;1;1410000000;
2016;1;1410000000;
2016;1;450000000;
